Account ID,Campaign ID,Close Date,Closed Lost Reason,Contact ID,Created By ID,Created Date,Fiscal Quarter,Fiscal Year,Forecast Category,Industry,Interface Type,Last Activity,Last Stage Change Date,LDO,Lead Application,Lead Source,Opportunity ID,Owner ID,Primary Application,Primary Contact,Product Category,Product of Interest,Stage,Amount,Probability (%)
0013100001fpk4nAAA,No Campaign,23-05-2016,Not Applicable,Unknown Contact,00531000007KAu8AAG,01-03-2016,2,2016,Closed,Energy,Unknown,27-04-2016,10-03-2018,FALSE,Biotherapeutics,Field Sales,0063100000bgLcoAAE,0055A000008zqzaQAA,Biotherapeutics,No Primary Contact,Training,ZipChip,Closed Won,"$5,050.00 ",100
0013100001fpl2gAAA,No Campaign,30-09-2017,Not Applicable,Unknown Contact,00531000007MUoEAAW,02-03-2016,3,2017,Pipeline,Energy,Unknown,No Activity Recorded,02-03-2016,FALSE,Not Specified,Other,0063100000bgVWEAA2,00531000006uPsjAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Qualified Opportunity,"$65,000.00 ",20
0013100001fpkr2AAA,No Campaign,30-06-2017,Not Applicable,Unknown Contact,00531000007MUoEAAW,02-03-2016,2,2017,Pipeline,Energy,Unknown,No Activity Recorded,02-03-2016,FALSE,Not Specified,Other,0063100000bgVvrAAE,00531000006uPsjAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Qualified Opportunity,"$65,000.00 ",20
0013100001fpvvrAAA,No Campaign,10-08-2018,Not Applicable,Unknown Contact,005i0000000fNkyAAE,02-03-2016,3,2018,Closed,Energy,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000bghjHAAQ,00531000008F2qlAAC,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$3,65,000.00 ",100
0013100001fpjwoAAA,No Campaign,28-06-2019,Contact has moved,Unknown Contact,00531000007KAu8AAG,03-03-2016,2,2019,Omitted,Energy,Auto-Classic,21-08-2018,02-05-2019,FALSE,Biotherapeutics,Field Sales,0063100000bgj8fAAA,0055A000009sZg0QAE,Biotherapeutics,0033100002viNXRAA2,System,ZipChip,Closed Lost,"$57,394.00 ",0
0013100001fpyoxAAA,No Campaign,30-09-2016,Not Applicable,Unknown Contact,005i0000000fNkyAAE,03-03-2016,3,2016,Omitted,Energy,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000bgjL0AAI,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$3,65,000.00 ",0
0013100001fpz8iAAA,No Campaign,30-09-2016,Not Applicable,Unknown Contact,005i0000000fNkyAAE,03-03-2016,3,2016,Omitted,Hospitality,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000bgjMDAAY,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$3,65,000.00 ",0
0013100001fqO6KAAU,70131000001YBx9AAG,03-08-2016,Not Applicable,Unknown Contact,00531000007KAu8AAG,06-03-2016,3,2016,Closed,Hospitality,Manual-Classic,27-04-2016,10-03-2018,FALSE,Proteomics and Peptide Mapping,Referral,0063100000bh21SAAQ,0055A000008zqzaQAA,Proteomics,0033100002vj8iQAAQ,System,ZipChip,Closed Won,"$28,500.00 ",100
001i000001MYrYFAA1,No Campaign,27-05-2016,Not Applicable,Unknown Contact,00531000007KAsvAAG,07-03-2016,2,2016,Closed,Hospitality,Unknown,07-03-2016,06-01-2020,FALSE,Not Specified,Other,0063100000bhDS6AAM,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$1,01,700.00 ",100
0013100001emY1NAAU,No Campaign,11-10-2017,Not Applicable,00331000033Tl6sAAC,00531000007KAsvAAG,09-03-2016,4,2017,Closed,Hospitality,Unknown,31-05-2018,06-01-2020,FALSE,Not Specified,Inside Sales,0063100000bhVayAAE,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$1,37,500.00 ",100
0013100001eo6iZAAQ,No Campaign,03-04-2016,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,2,2016,Closed,Hospitality,Auto-Classic,22-06-2017,10-03-2018,FALSE,Proteomics and Peptide Mapping,Trade Show,0063100000bhY15AAE,0055A000008iLoJQAU,Proteomics,0033100002uere2AAA,System,ZipChip,Closed Won,"$27,800.00 ",100
0013100001enyrYAAQ,No Campaign,30-06-2022,Lost or No Budget,Unknown Contact,00531000007M2hjAAC,10-03-2016,2,2022,Omitted,Hospitality,Manual-Classic,01-06-2017,17-11-2020,FALSE,Biotherapeutics,Referral,0063100000bhY2IAAU,00531000007KAu8AAG,Biotherapeutics,0033100002tIHBFAA4,System,ZipChip,Closed Lost,"$57,394.00 ",0
0013100001fqvwqAAA,No Campaign,30-12-2015,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Hospitality,Auto-Classic,10-03-2016,10-03-2018,FALSE,Biotherapeutics,Trade Show,0063100000bhY8QAAU,0055A000008iLoJQAU,Biotherapeutics,0033100002vk02mAAA,System,ZipChip,Closed Won,"$32,000.00 ",100
0013100001fqw6MAAQ,No Campaign,30-06-2022,Contact has moved,Unknown Contact,00531000007M2hjAAC,10-03-2016,2,2022,Omitted,Hospitality,Manual-Classic,20-07-2018,10-04-2020,FALSE,Amino Acids & Metobolites,Website,0063100000bhYC8AAM,0055A000008iLoOQAU,Metabolomics,0033100002vk07cAAA,System,ZipChip,Closed Lost,"$54,805.00 ",0
0013100001fqwyfAAA,No Campaign,30-12-2015,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Hospitality,Unknown,10-03-2016,10-03-2018,FALSE,Amino Acids & Metobolites;Peptide Mapping;Intact Proteins & Antibodies,Trade Show,0063100000bhYlNAAU,0055A000008iLoJQAU,Biotherapeutics,0033100002vk1d4AAA,System,ZipChip,Closed Won,"$28,700.00 ",100
0013100001ennfGAAQ,No Campaign,31-12-2015,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Hospitality,Auto-Classic,22-06-2017,10-03-2018,FALSE,Biotherapeutics,Trade Show,0063100000bhZ0mAAE,0055A000008zqzaQAA,Biotherapeutics,0033100002vk29UAAQ,System,ZipChip,Closed Won,"$28,300.00 ",100
0013100001fqyXRAAY,No Campaign,31-12-2015,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Telecommunications,Manual-Classic,22-06-2017,10-03-2018,FALSE,Proteomics and Peptide Mapping,Trade Show,0063100000bhZiIAAU,0055A000008zqzaQAA,Proteomics,0033100002vk3dpAAA,System,ZipChip,Closed Won,"$28,200.00 ",100
0013100001fqycHAAQ,No Campaign,31-12-2019,Other,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2019,Omitted,Education,Auto-Classic,18-04-2019,01-10-2019,FALSE,Metabolomics,Referral,0063100000bhZl7AAE,0055A000009sZg0QAE,Metabolomics,0033100002vk3iQAAQ,System,ZipChip,Closed Lost,"$72,600.00 ",0
0013100001fqyfkAAA,No Campaign,31-12-2015,Not Applicable,00331000039EdKmAAK,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Education,Unknown,No Activity Recorded,10-03-2018,FALSE,Metabolomics,Trade Show,0063100000bhZnSAAU,0055A000008zqzaQAA,Metabolomics,00331000039EdKmAAK,Consumables,ZipChip,Closed Won,"$1,600.00 ",100
0013100001fqylOAAQ,No Campaign,29-12-2017,Non Responsive,Unknown Contact,00531000007KAu8AAG,10-03-2016,4,2017,Omitted,Telecommunications,Auto-Classic,22-04-2019,11-06-2019,FALSE,Biotherapeutics,Field Sales,0063100000bhZrTAAU,0055A000009sZg0QAE,Biotherapeutics,0033100002vk3xBAAQ,System,ZipChip,Closed Lost,$0.00,0
0013100001fqymHAAQ,No Campaign,23-04-2019,Other,Unknown Contact,00531000007KAu8AAG,10-03-2016,2,2019,Omitted,Telecommunications,Auto-Classic,22-04-2019,23-04-2019,FALSE,Biotherapeutics,Field Sales,0063100000bhZsCAAU,0055A000009sZg0QAE,Biotherapeutics,0033100002vk3yJAAQ,System,ZipChip,Closed Lost,$0.00,0
0013100001fqyo3AAA,No Campaign,28-06-2019,Non Responsive,Unknown Contact,00531000007KAu8AAG,10-03-2016,2,2019,Omitted,Telecommunications,Manual-Classic,13-05-2019,21-06-2019,FALSE,Biotherapeutics;Proteomics and Peptide Mapping,Field Sales,0063100000bhZtPAAU,0055A000009sZg0QAE,Biotherapeutics,0033100002vk40ZAAQ,System,ZipChip,Closed Lost,"$29,500.00 ",0
0013100001fqypQAAQ,No Campaign,31-12-2015,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,4,2015,Closed,Telecommunications,Unknown,22-06-2017,10-03-2018,FALSE,Metabolomics,Trade Show,0063100000bhZuYAAU,0055A000008zqzaQAA,Biotherapeutics,0033100002vk42VAAQ,System,ZipChip,Closed Won,"$28,500.00 ",100
0013100001puTb4AAE,No Campaign,03-03-2016,Not Applicable,Unknown Contact,00531000007M2hjAAC,10-03-2016,1,2016,Closed,Telecommunications,Auto-Classic,No Activity Recorded,10-03-2018,FALSE,Biotherapeutics,Website,0063100000bha3VAAQ,0055A000008zqzaQAA,Biotherapeutics,0033100002vk4J2AAI,System,ZipChip,Closed Won,"$32,000.00 ",100
0013100001fr6f6AAA,No Campaign,17-12-2021,Not Applicable,Unknown Contact,00531000007M2hjAAC,11-03-2016,4,2021,Pipeline,Telecommunications,Manual-Classic,19-02-2021,29-06-2018,FALSE,Biotherapeutics,Referral,0063100000bhfhLAAQ,0055A00000Bnt5hQAB,Biotherapeutics,0033100002vsd5EAAQ,System,ZipChip,Funnel,"$50,650.00 ",5
0013100001fr6iKAAQ,No Campaign,21-02-2018,Non Responsive,Unknown Contact,00531000007M2hjAAC,11-03-2016,1,2018,Omitted,Telecommunications,Unknown,No Activity Recorded,15-03-2018,FALSE,Cell Lysates,Referral,0063100000bhfjCAAQ,0055A000008iLoJQAU,Metabolomics,0033100002vsd7FAAQ,System,ZipChip,Closed Lost,"$54,805.00 ",0
0013100001fr79BAAQ,70131000001YBPPAA4,28-03-2017,Not Applicable,Unknown Contact,00531000007M2hjAAC,11-03-2016,1,2017,Closed,Telecommunications,Auto-Classic,23-06-2017,10-03-2018,FALSE,Biotherapeutics,Referral,0063100000bhg3KAAQ,0055A000008iLoJQAU,Biotherapeutics,0033100002vsddLAAQ,System,ZipChip,Closed Won,"$52,306.00 ",100
0013100001fpjwoAAA,No Campaign,28-09-2018,Non Responsive,Unknown Contact,00531000007KAu8AAG,14-03-2016,3,2018,Omitted,Telecommunications,Unknown,23-04-2019,11-06-2019,FALSE,Cell Lysates,Sales Seminar,0063100000bhoZuAAI,0055A000009sZg0QAE,Proteomics,0033100002vsvgkAAA,System,ZipChip,Closed Lost,"$57,394.00 ",0
0015A00001taY3xQAE,No Campaign,28-12-2018,Non Responsive,0035A00003CcZ5nQAF,00531000007KAu8AAG,14-03-2016,4,2018,Omitted,Telecommunications,Unknown,22-04-2019,11-06-2019,FALSE,Biotherapeutics,Referral,0063100000bhoapAAA,0055A000009sZg0QAE,Biotherapeutics,0035A00003CcZ5nQAF,System,ZipChip,Closed Lost,"$54,805.00 ",0
0013100001qvZsSAAU,No Campaign,31-12-2018,Contact has moved,Unknown Contact,00531000007KAu8AAG,14-03-2016,4,2018,Omitted,Telecommunications,Unknown,22-08-2017,15-03-2018,FALSE,Biotherapeutics;Proteomics and Peptide Mapping,Referral,0063100000bhob4AAA,0055A000008iLoJQAU,Biotherapeutics,0033100002vsvi7AAA,System,ZipChip,Closed Lost,"$54,805.00 ",0
0013100001frMxsAAE,No Campaign,31-03-2016,Not Applicable,Unknown Contact,00531000007KgPgAAK,14-03-2016,1,2016,Omitted,Telecommunications,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000bhpm7AAA,00531000007KgPgAAK,CWAs,0033100002vsxqzAAA,Uncategorized,Product Not Specified,Closed Lost,$0.00,0
0013100001frMxsAAE,No Campaign,31-12-2020,Not Applicable,Unknown Contact,00531000007KgPgAAK,14-03-2016,4,2020,Pipeline,Transportation,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Advertisement,0063100000bhpn5AAA,00531000007KgPgAAK,CWAs;Explosives,No Primary Contact,Uncategorized,Product Not Specified,Qualified Opportunity,"$65,636.00 ",10
